Date,"BODY FAT" (%),"BODY MASS INDEX","BURNED CALORIES" (kcal),"CALORIE DEFICIT" (kcal),"DIETARY CALORIES" (kcal),"DISTANCE (R+W)" (km),"EXERCISE MINUTES","FLIGHTS CLIMBED","NET CALORIES" (kcal),"RESTING CALORIES" (kcal),"RESTING HEART RATE" (bpm),"SATURATED FAT" (g),"SLEEP","STEPS","TOTAL CALORIES" (kcal),"TOTAL FAT" (g),"WORKOUTS", DURATION
"29/01/2024",,,"521.66","2521.66",,"7.73","50m","11","2166.11","1644.45","66",,,"10224","2166.11",,,
"30/01/2024",,,"535.76","2535.76",,"9.42","54m","4","2147.95","1612.19","55",,,"12614","2147.95",,,
"31/01/2024",,,"0.04","2000.04",,"4.21",,"2","1457.23","1457.18",,,,"5398","1457.23",,,
"01/02/2024",,,"500.34","2500.34",,"8.29","1h 9m","3","2101.84","1601.5","62",,,"10952","2101.84",,,
"02/02/2024",,,,"2000",,"0.41",,"1","1457.19","1457.19",,,,"539","1457.19",,,
"03/02/2024",,,,"2000",,"0.23",,"3","1457.19","1457.19",,,,"284","1457.19",,,
"04/02/2024",,,,"2000",,"0.82",,"2","1457.19","1457.19",,,,"1004","1457.19",,,
"05/02/2024",,,,"2000",,"0.18",,,"1457.19","1457.19",,,,"229","1457.19",,,
"06/02/2024",,,,"2000",,"7.24",,"9","1457.19","1457.19",,,,"8834","1457.19",,,
"07/02/2024",,,,"2000",,"6.26",,"6","1443.13","1443.13",,,,"7654","1443.13",,,
"08/02/2024",,,"624.24","2624.24",,"9.51","1h 11m","10.94","2287.75","1663.51","66",,,"12169","2287.75",,,
"09/02/2024",,,"693.54","2693.54",,"13.3","41m","9","2407.76","1714.22","58",,,"18094","2407.76",,,
"10/02/2024",,,"457.51","2457.51",,"6.28","18m","5","2131.18","1673.67","65",,,"8658","2131.18",,,
"11/02/2024",,,"187.51","2187.51",,"3.03","4m","5","1723.53","1536.02","63",,,"4241","1723.53",,,
"12/02/2024",,,"537.58","2537.58",,"8.09","45m","9.93","2203.86","1666.27","80",,,"10800","2203.86",,,
"13/02/2024",,,"0.19","2000.19",,"8.89",,"4","1502.9","1502.71",,,,"10913","1502.9",,,
"14/02/2024",,,"404.35","2404.35",,"5.39","32m","3","2038.5","1634.15","57",,,"6913","2038.5",,"Walking","24m"
"15/02/2024",,,"433.5","2433.5",,"6.77","57m","8","2008.71","1575.21","73",,,"8772","2008.71",,,
"16/02/2024",,,"604.43","2604.43",,"7.83","46m","4.02","2294.98","1690.55","61",,,"10426","2294.98",,,
"17/02/2024",,,,"2000",,"4.83",,"4","1503.93","1503.93",,,,"6415","1503.93",,,
"18/02/2024",,,,"2000",,"0.3",,"1","1471.72","1471.72",,,,"399","1471.72",,,
"19/02/2024",,,"517.49","2517.49",,"7.75","41m","9","2164.66","1647.17","63",,,"10468","2164.66",,,
"20/02/2024",,,"0.44","2000.44",,"9.69",,"7","1494.62","1494.17",,,,"11510","1494.62",,,
"21/02/2024",,,"515.03","2515.03",,"6.36","38m","2","2209.84","1694.81","64",,,"8364","2209.84",,,
"22/02/2024",,,"454.66","2454.66",,"7.22","57m","7","2088.83","1634.17","68",,,"9374","2088.83",,,
"23/02/2024",,,,"2000",,"5.86",,"3","1402.4","1402.4",,,,"7427","1402.4",,,
